source	revision
amalgkit	5a24bb5e1b9d07ef9e5ae231934423fff0045eb8
cdskit	b7a61f1c01532d1817e6ff233d9050ac7eab0c5c
csubst	76c9124a730c3bed041234cecd4e2ad0fb21487d
nwkit	8dddd3ee32489ea61f698a33ec7fc82f18b9e588
BUSCO	cd071053c38c5060f75d0b370cb66c4edc8e59a1
paml	8daeead6b55523f375d9ac56dcfac38373ef8a2e
iqtree	63c330d90dd02241dbbbaf1e9f9e9cc6dadbd1de
kfFractBias	d19e658042e88f3c344a110f90f0981e10b11ff3
kftools	1a48d83081c3a2bf5671f41abad9d97307f67c0f
rkftools	477806c98d5452bf0398b689a52650b56f7b7d2a
