provider	id	species_key	cds_url	gff_url	gbff_url	genome_url	cds_archive_member	gff_archive_member	gbff_archive_member	genome_archive_member	cds_filename	gff_filename	gbff_filename	genome_filename	cds_url_template	gff_url_template	genome_url_template	local_cds_path	local_gff_path	local_gbff_path	local_genome_path
direct	https://figshare.com/articles/dataset/Construction_of_the_super_pan-genome_for_the_genus_Actinidia_reveals_structural_variations_linked_to_phenotypic_diversity/28759280	Actinidia_deliciosa	https://ndownloader.figshare.com/files/58581835	https://ndownloader.figshare.com/files/53524346		https://ndownloader.figshare.com/files/53524460															
direct	Agave_tequilana_CNGB_SciRAID	Agave_tequilana	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/agave_tequilana/02.annotation/Atequilanavar_WebersBlueHAP1_790_v2.1.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/agave_tequilana/02.annotation/Atequilanavar_WebersBlueHAP1_790_v2.1.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/agave_tequilana/01.assembly/Atequilanavar_WebersBlueHAP1_790_v2.0.fa.gz															
direct	Allium_cepa_PlantGARDEN_v1.2	Allium_cepa	https://plantgarden.jp/en/download/t4679/t4679.G001/AlliumCepa_v1.2_augustusPredictions.annotated.cds.fa.gz	https://plantgarden.jp/en/download/t4679/t4679.G001/AlliumCepa_v1.2_augustusPredictions.annotated.gff3.gz		https://plantgarden.jp/en/download/t4679/t4679.G001/AlliumCepa_v1.2.fa.gz					AlliumCepa_v1.2_augustusPredictions.annotated.cds.fa.gz	AlliumCepa_v1.2_augustusPredictions.annotated.gff3.gz		AlliumCepa_v1.2.fa.gz							
direct	Amorphophallus_konjac_NCBI_Figshare	Amorphophallus_konjac	https://ndownloader.figshare.com/files/29142186	https://ndownloader.figshare.com/files/29142195		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/559/845/GCA_022559845.1_ASM2255984v1/GCA_022559845.1_ASM2255984v1_genomic.fna.gz					Amorphophallus_konjac.clean.cds	Amorphophallus_konjac.clean.gff		GCA_022559845.1_ASM2255984v1_genomic.fna.gz							
direct	Andropogon_gerardi_CNGB_SciRAID	Andropogon_gerardi	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/andropogon_gerardi/02.annotation/AgerardiHAP1_783_v1.1.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/andropogon_gerardi/02.annotation/AgerardiHAP1_783_v1.1.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/andropogon_gerardi/01.assembly/AgerardiHAP1_783_v1.0.fa.gz															
direct	https://www.legumeinfo.org/download/apios/	Apios_americana	https://data.legumeinfo.org/Apios/americana/annotations/LA2127.gnm1.ann1.QKWH/apiam.LA2127.gnm1.ann1.QKWH.cds.fna.gz	https://data.legumeinfo.org/Apios/americana/annotations/LA2127.gnm1.ann1.QKWH/apiam.LA2127.gnm1.ann1.QKWH.gene_models_main.gff3.gz		https://data.legumeinfo.org/Apios/americana/genomes/LA2127.gnm1.KVMK/apiam.LA2127.gnm1.KVMK.genome_main.fna.gz					apiam.LA2127.gnm1.ann1.QKWH.cds.fna.gz	apiam.LA2127.gnm1.ann1.QKWH.gene_models_main.gff3.gz		apiam.LA2127.gnm1.KVMK.genome_main.fna.gz							
direct	Areca_catechu_TCOD_reference16	Areca_catechu		https://download.cncb.ac.cn/tcod/reference/16/Areca_catechu.gene.v1.0.gff.gz		https://download.cncb.ac.cn/tcod/reference/16/Areca_catechu_assembly_v1.fasta.gz						Areca_catechu.gene.v1.0.gff.gz		Areca_catechu_assembly_v1.fasta.gz							
direct	Betula_platyphylla_CNGB_SciRAID	Betula_platyphylla	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/betula_platyphylla/02.annotation/Bplatyphylla_679_v1.1.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/betula_platyphylla/02.annotation/Bplatyphylla_679_v1.1.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/betula_platyphylla/01.assembly/Bplatyphylla_679_v1.0.fa.gz															
direct	https://cruciferseq.ca/Bnigra_download	Brassica_nigra	https://cruciferseq.ca/downloads/brassica_nigra/ni100lr/Bnigra_NI100.v2.cds.fasta.gz	https://cruciferseq.ca/downloads/brassica_nigra/ni100lr/Bnigra_NI100.v2.genes.gff3.gz		https://cruciferseq.ca/downloads/brassica_nigra/ni100lr/Bnigra_NI100.v2.genome.fasta.gz					Bnigra_NI100.v2.cds.fasta.gz	Bnigra_NI100.v2.genes.gff3.gz		Bnigra_NI100.v2.genome.fasta.gz							
direct	Callicarpa_americana_GigaDB_100777	Callicarpa_americana	https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100777/car.hc_gene_models.cds.fa	https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100777/car.hc_gene_models.gff3		https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100777/car_asm.fa					car.hc_gene_models.cds.fa	car.hc_gene_models.gff3		car_asm.fa							
