gene_id	flower_1	flower_2	flower_3	flower_4	flower_5	flower_6	flower_7	flower_8	flower_9	leaf_1	leafBlade_1	leafBlade_2	leafBlade_3	leafBlade_4	petiole_1	petiole_2	petiole_3	petiole_4	petiole_5	root_1	root_2	seed_1	seed_2	seed_3	seed_4	seed_5	seed_6	seed_7	seed_8	seed_9	shootApicalMeristem_1	shootApicalMeristem_2	shootApicalMeristem_3	shootApicalMeristem_4	shootApicalMeristem_5	shootApicalMeristem_6	shootApicalMeristem_7	shootApicalMeristem_8	shootApicalMeristem_9	shootApicalMeristem_10	shootApicalMeristem_11	shootApicalMeristem_12	shootApicalMeristem_13	shootApicalMeristem_14	shootApicalMeristem_15	shootApicalMeristem_16
Arabidopsis_thaliana_AT2G07560.1	0.010026	0.016048	0.484491	1.126283	1.709458	0.816532	0.002196	0.001921	0.002356	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167	0.004329	0.003852	0	0	0.001692	0	0	0	0	0	0	0	0	0.000346	0.001143	0.000162	0	0	0.004362	0	0	0
Arabidopsis_thaliana_AT2G18960.1	1.080899	1.088995	1.057575	1.017006	1.136017	0.849458	0.633354	0.863082	0.737409	1.549155	1.591338	1.706008	1.773184	1.83437	1.011922	1.253189	1.497837	1.967239	1.904786	1.476804	1.050634	0.685403	0.818812	0.957895	1.283748	0.711932	0.942881	1.838548	1.504867	0.951302	1.043317	1.185201	1.253188	1.124662	0.884753	0.822722	0.663958	0.63814	0.541016	0.58268	0.445261	0.897149	1.138223	0.96463	0.701668	0.51404
Arabidopsis_thaliana_AT2G45190.1	0.199164	0.199788	0.234385	0.250235	0.341611	0.444843	0.897442	0.80704	0.820607	0.120719	0.673326	0.41473	0.225203	0.123868	0.48568	0.159579	0.076901	0.02031	0.014288	0.001062	0	0.872776	0.284753	0.32771	0.058747	0.015042	1.233147	1.223511	0.702818	0.103791	1.059818	1.113671	1.165256	2.146783	1.475616	1.284138	1.524001	1.281808	1.225148	1.223014	1.422514	1.075228	1.640505	0.732656	1.342106	0.661239
Arabidopsis_thaliana_AT2G26580.1	0.098949	0.199184	0.163896	0.09718	0.113029	0.095511	0.095258	0.066624	0.02827	0.484115	0.323998	0.372116	0.340833	0.253788	0.180832	0.214925	0.30842	0.339771	0.109189	0	0	0.148639	0.02302	0.07751	0.023993	0	0.612073	0.37355	0.279357	0.005097	0.139597	0.119395	0.120663	0.232757	0.181697	0.109518	0.110008	0.054334	0.101453	0.083469	0.075725	0.105533	0.186605	0.080569	0.14633	0.213305
Arabidopsis_thaliana_AT4G00180.1	0.112646	0.144081	0.185544	0.34212	0.383793	0.384722	0.724702	0.533006	0.459386	0.256792	0.854815	0.62214	0.515911	0.232917	0.704181	0.450086	0.297346	0.132828	0.071541	0.000995	0.001705	0.415395	0.034477	0.065269	0.003651	0.488685	0.576175	0.786819	0.355023	0.301723	0.640467	0.501812	0.450891	0.890698	0.391679	0.447117	0.559343	0.29459	0.329897	0.473024	0.316237	0.394543	0.56576	0.302556	0.343209	0.588427
Arabidopsis_thaliana_AT4G30190.2	0.827935	0.971243	0.820064	0.453964	0.480453	0.375966	0.288576	0.364081	0.269522	0.384755	0.566704	0.822766	0.860037	0.563287	0.783812	1.186314	1.530041	0.646173	1.288971	2.550403	1.673664	0.312449	0.446328	0.512463	0.710099	0.063589	1.037061	2.136273	1.621214	0.098058	0.34959	0.472489	0.494846	0.371899	0.330446	0.27964	0.185835	0.194246	0.128956	0.142578	0.094827	0.310698	0.499444	0.28484	0.225155	0.217631
Arabidopsis_thaliana_AT4G11730.1	0	0.000203	0	0	0	0.0002	0.02057	0.053939	0.001791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197	0.000214	0.000415	0	0.000254	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000196	0	0	0	0
Arabidopsis_thaliana_AT1G17260.1	0.041739	0.036413	0.015575	0.006382	0.006673	0.008461	0.01062	0.021838	0.016914	0.012275	0.005678	0.004434	0.005736	0.010338	0.00724	0.013327	0.020856	0.019902	0.011509	0.008055	0.007579	0.040453	0.322426	0.227834	0.792909	0.007358	0.001092	0.007948	0.010342	0.005987	0.003811	0.005351	0.00442	0.026371	0.002455	0.013201	0.023578	0.014475	0.024097	0.02041	0.012314	0.012707	0.015305	0.002728	0.012443	0.000372
Arabidopsis_thaliana_AT1G08465.1	0.51372	0.437284	0.331548	0.311262	0.323732	0.30271	0.510454	0.349179	0.306653	0.263513	0.337241	0.237448	0.165109	0.083885	0.481206	0.469745	0.499988	0.402268	0.29073	0	0	0.126194	0.025488	0.057858	0.057537	0.125094	0.176816	0.137513	0.153156	0.083519	0.326434	0.376908	0.261462	0.344722	0.262388	0.268077	0.213497	0.215006	0.23325	0.272806	0.111086	0.314939	0.207398	0.271574	0.142622	0.337121
Arabidopsis_thaliana_AT1G64790.2	0.171205	0.155236	0.181659	0.15531	0.242174	0.206348	0.081915	0.186101	0.220024	0.094777	0.316601	0.280632	0.190994	0.185343	0.261524	0.308727	0.204189	0.187318	0.15754	0.445271	0.195832	0.099807	0.054501	0.126203	0.113308	0.085247	0.373761	0.591676	0.21124	0.121498	0.181902	0.154134	0.165303	0.338424	0.173217	0.18032	0.210541	0.194272	0.207754	0.176985	0.173705	0.195354	0.237962	0.070359	0.171079	0.118976
Arabidopsis_thaliana_AT1G69180.1	0.508514	0.506827	0.443355	0.568934	0.409694	0.287356	0.624198	0.626387	0.748974	0	0	0	0	0	0	0	0	0	0	0	0	0.024208	0.005283	0.002543	0	0	0	0	0	0	0.005048	0.027327	0.025337	0.042551	0.054686	0.02407	0.038667	0.037651	0.194423	0.261982	0.006194	0	0.001335	0.014213	0.013352	0.004246
Arabidopsis_thaliana_AT1G80660.1	0.005926	0.0092	0.922995	1.749454	1.836481	0.666205	0.047926	0.202523	0.036038	0.000438	0.000678	0.000259	0.000856	0.000458	0	0.000806	0	0.00063	0.000442	0.000391	0	0.000168	0.000172	0.000497	0.004126	0.001743	0	0.000642	0.002313	0	0	0	0	0.000162	0	0.000834	0.000496	0.000689	0.002433	0.000644	0	0.001646	0.005376	0.000339	0	0.000185
