gene_id	flower_1	flower_2	flower_3	gland_1	gland_2	gland_3	gland_4	gland_5	gland_6	gland_7	gland_8	gland_9	leaf_1	leaf_2	leaf_3	rim_1	rim_2	rim_3	root_1	root_2	root_3	trap_1	trap_2	trap_3	trap_4	trap_5	trap_6	trap_7	trap_8	trapFed_1	trapFed_2	trapNoTriggerHair_1	trapNoTriggerHair_2	trapNoTriggerHair_3	triggerHair_1	triggerHair_2	triggerHair_3	triggerHair_4
Dionaea_muscipula_Dm-00009984	0.753517	0.786365	0.928561	0	0	0	0	0	0	0	0	0.004727	0	0	0	0.005055	0	0	0	0.002212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008466	0	0	0	0
Dionaea_muscipula_Dm-00014996	2.665424	2.641662	2.859105	1.071384	1.58468	0.635457	1.19835	0.990601	1.281652	1.364762	1.166147	1.307866	1.888398	1.820189	2.680938	2.089246	2.430366	2.589663	1.357509	1.628383	1.723538	2.062149	2.309343	2.218958	2.352956	2.734093	2.075009	1.836792	1.819748	0.884385	1.04914	1.422118	1.407826	2.601358	2.096802	1.895344	1.247074	1.111262
Dionaea_muscipula_Dm-00014052	0.597912	0.572356	0.693346	0.160909	0.297642	0.078854	0.163782	0.129204	0.189727	0.482789	0.466917	0.416389	0.447028	0.408744	0.8699	0.450919	0.600024	0.664547	0.225174	0.314626	0.346175	0.417136	0.747395	0.464903	0.50995	0.723904	0.389818	0.330189	0.236517	0.310997	0.374665	0.247513	0.221544	0.537327	1.0448	0.473498	0.205296	0.160713
Dionaea_muscipula_Dm-00005676	0.632354	0.587364	0.722246	0.215509	0.38148	0.080843	0.266479	0.199027	0.293455	0.53344	0.489212	0.482405	0.439012	0.415063	0.846918	0.412409	0.543176	0.620941	0.23224	0.331829	0.370068	0.331092	0.669826	0.347742	0.460314	0.639172	0.359412	0.275281	0.211759	0.37687	0.39647	0.196884	0.177149	0.409966	0.890433	0.405307	0.232255	0.175846
Dionaea_muscipula_Dm-00002324	0.232959	0.239168	0.304609	0.001875	0.003068	0.000371	0.00286	0.001632	0.003275	0.004527	0.002874	0.006532	0.031366	0.028841	0.077178	0.042033	0.053807	0.062073	0.000844	0.002107	0.0055	0.006149	0.005271	0.008265	0.01249	0.015588	0.009336	0.003202	0.002132	0.002777	0.003443	0.007624	0.009453	0.041783	0.001305	0.008293	0.003115	0.000391
Dionaea_muscipula_Dm-00001736	0.326384	0.300643	0.380421	0.080166	0.158212	0.029718	0.086041	0.058483	0.098537	0.244142	0.206543	0.226649	0.274723	0.244372	0.549598	0.262152	0.352827	0.409868	0.0877	0.133676	0.146999	0.190045	0.421028	0.235675	0.265039	0.382408	0.199072	0.0954	0.059887	0.104141	0.125362	0.066816	0.04947	0.098586	0.640327	0.171452	0.10303	0.068101
Dionaea_muscipula_Dm-00004198	0.367075	0.350531	0.440052	0.141058	0.250081	0.054246	0.161283	0.126661	0.185766	0.244467	0.217635	0.233599	0.251195	0.242006	0.550015	0.239009	0.324749	0.360547	0.10646	0.140789	0.154284	0.234405	0.404652	0.28806	0.272358	0.384286	0.195852	0.145281	0.105628	0.111276	0.142277	0.111843	0.097053	0.278673	0.591592	0.234321	0.102477	0.082817
Dionaea_muscipula_Dm-00000738	0.799307	0.779641	0.919431	1.743892	2.413418	1.257448	2.19446	1.909228	2.27541	2.797639	2.640283	2.667997	1.505342	1.4673	2.262824	1.972412	2.300462	2.438907	1.449804	1.735727	1.857374	1.51993	1.704153	1.541922	1.903356	2.267663	1.624946	1.842675	1.731537	1.736745	1.807185	1.520075	1.440793	2.492094	2.33755	2.167335	0.720044	0.751278
Dionaea_muscipula_Dm-00001133	1.485015	1.482047	1.721709	0	0	0.001111	0	0.002393	0.002413	0.002513	0.003882	0.00376	0.508909	0.507232	1.000224	0.45869	0.64192	0.685424	0.087212	0.139007	0.140595	0.43124	0.389154	0.463178	0.557525	0.731584	0.410107	0.481633	0.380469	0.378625	0.372917	0.19852	0.193344	0.760374	0.028114	0	0.003462	0.003449
Dionaea_muscipula_Dm-00000274	0.038389	0.037547	0.055245	0.077719	0.184599	0.033478	0.086746	0.0651	0.088323	0.194322	0.158961	0.162148	0.080262	0.082543	0.198494	0.136317	0.177854	0.216902	0.058899	0.074134	0.083986	0.089968	0.165415	0.095395	0.138164	0.1825	0.095419	0.202551	0.199859	0.186054	0.20209	0.071374	0.066575	0.111699	0.192972	0.064005	0.023018	0.0203
