gene_id	digestiveZone_1	digestiveZone_2	digestiveZone_3	digestiveZoneFed_1	digestiveZoneFed_2	digestiveZoneFed_3	leaf_1	leaf_2	leaf_3	leafFed_1	leafFed_2	leafFed_3	lid_1	lid_2	lid_3	lidFed_1	lidFed_2	lidFed_3	peristome_1	peristome_2	peristome_3	peristomeFed_1	peristomeFed_2	peristomeFed_3	root_1	root_2	root_3	tendril_1	tendril_2	tendril_3	tendrilFed_1	tendrilFed_2	tendrilFed_3	trap_1	trap_2	trap_3	waxyZone_1	waxyZone_2	waxyZone_3	waxyZoneFed_1	waxyZoneFed_2	waxyZoneFed_3
Nepenthes_gracilis_Nepgr000233	0.95576	1.003936	1.07586	0.755102	0.953018	0.791882	0.301275	0.45543	0.419229	0.339034	0.468441	0.336389	0.997482	1.054983	1.042275	0.623562	1.025026	0.954342	1.555116	1.550507	1.425964	1.420627	1.672064	1.152059	0.013443	0.006862	0.003185	1.008259	0.967898	0.981882	0.815167	0.752143	0.73928	1.784602	1.526758	1.589787	1.947427	1.790135	1.749236	1.685501	1.796077	1.653019
Nepenthes_gracilis_Nepgr002443	0.003461	0	0.001764	0	0.003584	0.00168	0.008164	0.002046	0.003707	0.007336	0.016351	0.003639	0	0.01175	0	0	0.001753	0.003698	0.01603	0.0159	0.015757	0.001826	0.017245	0.024377	0	0	0	0.005266	0.001709	0.006872	0.005108	0.001685	0.007847	0.001912	0	0.008364	0	0.001744	0	0	0	0
Nepenthes_gracilis_Nepgr004999	0.366705	0.38454	0.372309	0.838633	0.723908	0.468346	0.178377	0.18531	0.248245	0.245144	0.287668	0.249268	0.509349	0.362268	0.769578	0.688575	0.234433	0.41951	0.198259	0.22754	0.130862	0.294783	0.128537	0.215208	0.289736	0.207358	0.243221	0.214376	0.195226	0.179732	0.268285	0.147751	0.183647	0.363328	0.262795	0.399305	0.245989	0.288535	0.294906	0.42512	0.255694	0.364936
Nepenthes_gracilis_Nepgr005691	0.690788	0.789164	0.902048	1.080472	0.93367	0.819191	0.622918	0.799681	1.022129	0.81367	1.077366	0.79589	0.56077	0.670607	0.571341	0.578649	0.618512	0.703258	0.211212	0.615157	0.487823	0.324296	0.505847	0.482131	0.477616	0.372575	0.388221	0.525342	0.418175	0.594099	0.65231	0.533603	0.630216	0.55791	0.602774	0.643292	0.776489	0.923347	0.86658	0.922047	0.696008	1.086252
Nepenthes_gracilis_Nepgr006316	0.053903	0.062648	0.061045	0.032069	0.056087	0.049216	0.025539	0.030286	0.037574	0.024744	0.041924	0.031288	0.044877	0.034281	0.050945	0.031494	0.067092	0.048981	0.065645	0.08478	0.131361	0.071324	0.093013	0.070193	0.113678	0.063884	0.149245	0.047634	0.035761	0.035162	0.033352	0.043392	0.039525	0.06361	0.052449	0.10409	0.050062	0.044733	0.034236	0.031498	0.030898	0.045307
Nepenthes_gracilis_Nepgr006372	0.132283	0.160002	0.197214	0.058066	0.154459	0.144505	0.221076	0.28149	0.366933	0.275649	0.366958	0.2763	0.055121	0.043937	0.014285	0.011275	0.039701	0.050995	0.024334	0.013678	0.053064	0.007824	0.036469	0.01199	0	0	0	1.076795	1.137316	1.143227	0.745704	0.777974	0.85914	0.083995	0.131623	0.137546	0.132021	0.150481	0.18547	0.107066	0.110717	0.202447
Nepenthes_gracilis_Nepgr008910	0.138003	0.185586	0.247814	0.135233	0.200269	0.110429	0.11306	0.142892	0.219171	0.145203	0.18335	0.129315	0.094799	0.114375	0.108124	0.080858	0.125429	0.116371	0.036696	0.12804	0.090757	0.044026	0.115803	0.069587	0.124568	0.076562	0.086026	0.089939	0.062396	0.077478	0.056988	0.060799	0.070361	0.208909	0.154108	0.295919	0.168984	0.202131	0.182691	0.146869	0.13031	0.204688
Nepenthes_gracilis_Nepgr009191	0.107055	0.156661	0.191955	0.063654	0.151907	0.176946	0.03661	0.067054	0.065073	0.064649	0.079144	0.066315	0.17633	0.13175	0.126592	0.0294	0.128008	0.215589	0.122567	0.132021	0.232104	0.100581	0.089076	0.139624	0	0	0	0.291241	0.254023	0.204779	0.147633	0.159968	0.224996	0.144256	0.070245	0.093892	0.089728	0.112445	0.159577	0.094884	0.108392	0.132245
Nepenthes_gracilis_Nepgr011352	0.358261	0.31943	0.28192	0.071913	0.185389	0.146889	0.510565	0.492491	0.703285	0.553756	0.649239	0.671344	0.113057	0.101241	0.15694	0.062278	0.106478	0.092638	0.116658	0.082137	0.099694	0.041715	0.039693	0.026994	0.006297	0.015991	0.011867	0.891493	0.897895	0.9019	0.495426	0.789096	0.729659	0.218858	0.195681	0.110868	0.399456	0.255523	0.246833	0.153014	0.183436	0.196668
Nepenthes_gracilis_Nepgr014538	0.059326	0.095538	0.095184	0.042403	0.083609	0.068951	0.074553	0.023826	0.089687	0.073103	0.081587	0.062557	0.110042	0.429466	0.187177	0.212444	0.195426	0.119452	1.048339	1.376541	1.130134	0.823003	0.630853	0.703282	0	0	0.0018	0.194998	0.23544	0.174609	0.093975	0.121431	0.204819	0.361991	0.344331	0.397722	0.081524	0.085127	0.06747	0.094317	0.050092	0.090869
