species	anchor	source_seqid	source_start	source_end	strand	left_count	right_count
Amborella_trichopoda	Amborella_trichopoda_AmTr-v1.0-scaffold00002.442	AmTr_v1.0_scaffold00002	7581880	7589373	+	20	20
Amborella_trichopoda	Amborella_trichopoda_AmTr-v1.0-scaffold00019.326	AmTr_v1.0_scaffold00019	5158884	5170103	+	20	20
Amborella_trichopoda	Amborella_trichopoda_AmTr-v1.0-scaffold00026.11	AmTr_v1.0_scaffold00026	244490	258591	-	9	20
Amborella_trichopoda	Amborella_trichopoda_AmTr-v1.0-scaffold00111.82	AmTr_v1.0_scaffold00111	1341783	1358387	-	20	20
Amborella_trichopoda	Amborella_trichopoda_AmTr-v1.0-scaffold00131.44	AmTr_v1.0_scaffold00131	785576	797381	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT1G17260.1	Chr1	5904058	5908898	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT1G80660.1	Chr1	30315964	30320197	-	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT2G07560.1	Chr2	3169908	3174102	-	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT2G18960.1	Chr2	8221514	8227622	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT2G24520.2	Chr2	10414963	10420029	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT3G42640.1	Chr3	14724103	14728327	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT3G47950.1	Chr3	17692666	17697999	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT3G60330.4	Chr3	22298373	22303718	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT4G11730.1	Chr4	7067035	7070968	+	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT4G30190.2	Chr4	14770395	14776247	-	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT5G57350.1	Chr5	23230874	23236682	-	20	20
Arabidopsis_thaliana	Arabidopsis_thaliana_AT5G62670.1	Chr5	25159208	25165209	+	20	20
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-07012	scaffold308	295412	302655	-	8	8
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-15872	scaffold997	271183	276530	+	20	4
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-21357	scaffold1704	154138	161012	-	17	7
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-23428	scaffold2087	5431	9586	-	0	19
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-28938	scaffold3590	47930	54178	-	5	1
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-31886	scaffold4877	37180	43335	-	1	0
Cephalotus_follicularis	Cephalotus_follicularis_Cfol-v3-32280	scaffold5108	24623	31781	-	1	4
Dionaea_muscipula	Dionaea_muscipula_Dm-00000274	scaffold_4	221048	230048	-	20	20
Dionaea_muscipula	Dionaea_muscipula_Dm-00000738	scaffold_11	131600	136114	-	13	20
Dionaea_muscipula	Dionaea_muscipula_Dm-00002324	scaffold_55	95192	99595	+	11	18
Dionaea_muscipula	Dionaea_muscipula_Dm-00004749	scaffold_757	88716	93105	-	6	0
Dionaea_muscipula	Dionaea_muscipula_Dm-00004939	scaffold_417	115170	119603	+	13	1
Dionaea_muscipula	Dionaea_muscipula_Dm-00013634	scaffold_6344	30472	37622	-	2	0
Dionaea_muscipula	Dionaea_muscipula_Dm-00014996	scaffold_9406	21191	28185	-	1	0
Dionaea_muscipula	Dionaea_muscipula_Dm-00019371	scaffold_22424	2497	15294	+	0	0
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr004999	scaffold5	7416792	7426930	-	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr005691	scaffold5	23664478	23682943	-	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr006316	scaffold6	5879892	5890698	+	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr016022	scaffold13	17448196	17460063	+	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr018675	scaffold17	3139901	3153842	-	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr019800	scaffold18	13563908	13576505	-	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr022431	scaffold22	4337643	4344341	-	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr022433	scaffold22	4351797	4374123	-	20	20
Nepenthes_gracilis	Nepenthes_gracilis_Nepgr023291	scaffold23	5109009	5123229	+	20	20
Oryza_sativa	Oryza_sativa_LOC-Os02g55400.1	Chr2	33931818	33936180	+	20	20
Oryza_sativa	Oryza_sativa_LOC-Os03g01120.1	Chr3	89042	99403	+	9	20
Oryza_sativa	Oryza_sativa_LOC-Os03g08560.1	Chr3	4402550	4408415	-	20	20
Oryza_sativa	Oryza_sativa_LOC-Os03g48310.1	Chr3	27510164	27517321	+	20	20
Oryza_sativa	Oryza_sativa_LOC-Os04g56160.1	Chr4	33457745	33464933	+	20	20
Oryza_sativa	Oryza_sativa_LOC-Os05g25550.1	Chr5	14848337	14852875	-	20	20
Oryza_sativa	Oryza_sativa_LOC-Os06g08310.1	Chr6	4027361	4030375	-	20	20
Oryza_sativa	Oryza_sativa_LOC-Os07g09340.1	Chr7	4914608	4920788	+	20	20
Oryza_sativa	Oryza_sativa_LOC-Os11g29490.1	Chr11	17108744	17115599	+	20	20
Oryza_sativa	Oryza_sativa_LOC-Os12g44150.1	Chr12	27386953	27394090	+	20	20
Spinacia_oleracea	Spinacia_oleracea_Spo02007	chr2	45838847	45845294	+	20	20
Spinacia_oleracea	Spinacia_oleracea_Spo07752	chr1	46235903	46244044	-	20	20
Spinacia_oleracea	Spinacia_oleracea_Spo08692	chr2	90709	94841	+	8	20
Spinacia_oleracea	Spinacia_oleracea_Spo19400	chr1	33450924	33459796	+	20	20
Spinacia_oleracea	Spinacia_oleracea_Spo19842	chr4	119091994	119096868	-	20	20
Spinacia_oleracea	Spinacia_oleracea_Spo20265	chr5	9822416	9829123	+	20	20
Spinacia_oleracea	Spinacia_oleracea_Spo24326	SpoScf_00067	382338	389038	-	11	9
Spinacia_oleracea	Spinacia_oleracea_Spo24327	SpoScf_00067	395094	404430	-	12	8
Spinacia_oleracea	Spinacia_oleracea_Spo30038	SpoScf_00508	128262	138716	+	3	6
